"Q815314","Belavia_by","1"
"Q7981412","WellyHigh","1"
"Q1476937","LiberalPH","1"
"Q3177444","Yorkshireccc","2"
"Q235754","Kellie_Martin","2"
"Q470468","LKrauss1","2"
"Q129041","carmeloanthony","2"
"Q1046939","RaithRovers_FC","2"
"Q3572729","YouveBeenFramed","2"
"Q1933793","rjd2","2"
"Q7901181","UrsinusCollege","1"
"Q3294122","MarKKamins","1"
"Q268210","alishaklass","1"
"Q737645","KumarSanga2","2"
"Q422980","BrettLee_58","2"
"Q1543041","OsmondNews","1"
"Q4834836","looknorthBBC","1"
"Q244595","ujpestfc1885","1"
"Q460724","Hammarbyfotboll","1"
"Q7422533","ultragrrrl","1"
"Q7808399","tinobest","2"
"Q2732196","henrygayle","2"
"Q7437332","scottbstyris","2"
"Q289402","ImElsaBenitez","1"
"Q2000845","BBCWales","2"
"Q215757","jarpad","2"
"Q261631","Alice_Tait","2"
"Q270663","libby_trickett","1"
"Q6305226","JuicyJuiceUSA","1"
"Q7326313","harwoodonline","1"
"Q380357","Rolandschoeman","2"
"Q3031783","odwalla","1"
"Q274009","KirstyCoventry","2"
"Q315340","MattBomer","2"
"Q318982","Grant_Hackett","1"
"Q230686","ShiriAppleby","2"
"Q967544","jaychandrasekha","2"
"Q2931571","FAN590","2"
"Q3317589","travelchannel","2"
"Q8074923","zubaz","1"
"Q241025","josie_maran","2"
"Q5273581","dickndom","2"
"Q7498862","shirleybar","1"
"Q1686370","JeffTweedy","2"
"Q171332","BAH_Int_Circuit","2"
"Q262068","ChampFatima","1"
"Q6842556","bbcmtd","1"
"Q171417","Autodromo_Monza","1"
"Q1036056","Cargill","1"
"Q714516","BrianSandoval","2"
"Q3731762","_ErikaHarold","1"
"Q121647","paulpierce34","2"
"Q2915254","ripcurl","1"
"Q1982877","andersoncooper","2"
"Q7595925","StaciaBlake","1"
"Q7836463","TraxFM","1"
"Q3535281","AzharMahmood11","2"
"Q2738960","scgmacgill","2"
"Q5156088","compassfm","1"
"Q843791","FNN_News","2"
"Q361420","bkschoolofpw","1"
"Q441677","MindiAbair","2"
"Q898186","OneWorldWarrior","2"
"Q562596","davidalangrier","2"
"Q5335629","EdtheSock","1"
"Q317724","JRsBBQ","2"
"Q234114","torri_higginson","2"
"Q657900","bWoStevie","1"
"Q1268767","DylanNealStudio","2"
"Q319491","shahidkapoor","2"
"Q229058","isro","2"
"Q230510","MaryLynnRajskub","2"
"Q9437","wealdstonefc","1"
"Q5259704","denverdalley","1"
"Q1364018","MyMaybank","2"
"Q274187","therealgolden47","2"
"Q1368919","ru_mts","2"
"Q1385193","RAIKO_CUBESAT","1"
"Q233862","PamGrier","2"
"Q715561","MichaelKlimAus","2"
"Q6984229","nealemac8","1"
